Run 1/1
Running simulation 'FL_D_CCN_LRU_100_SPMBM'
60.0 4249: 70.81 1/s
120.0 5917: 27.80 1/s
180.0 7125: 20.14 1/s
240.0 8123: 16.63 1/s
300.0 8952: 13.82 1/s
360.0 9747: 13.23 1/s
420.0 10335: 9.81 1/s
480.0 10944: 10.15 1/s
540.0 11556: 10.19 1/s
600.0 12140: 9.73 1/s
660.1 12720: 9.66 1/s
720.1 13251: 8.86 1/s
780.1 13749: 8.29 1/s
840.1 14200: 7.52 1/s
Unique content gateway: 498 :: total unique content cache: 1
received Time: 1974.2999999992999	 sent Time 60.00000000000058
received Time: 1275.999999999935	 sent Time 60.00000000000058
received Time: 950.1000000001475	 sent Time 60.00000000000058
received Time: 1275.7999999999352	 sent Time 60.00000000000058
received Time: 322.0000000000047	 sent Time 60.00000000000058
received Time: 60.30000000000059	 sent Time 60.00000000000058
received Time: 1974.1999999993	 sent Time 60.00000000000058
received Time: 2988.1999999983777	 sent Time 60.00000000000058
received Time: 2379.4999999989313	 sent Time 60.00000000000058
received Time: 3470.499999997939	 sent Time 60.00000000000058
received Time: 5893.300000003908	 sent Time 60.00000000000058
received Time: 1275.6999999999352	 sent Time 60.00000000000058
received Time: 2352.399999998956	 sent Time 60.00000000000058
received Time: 2347.4999999989604	 sent Time 60.00000000000058
received Time: 1607.1999999996337	 sent Time 60.00000000000058
received Time: 2359.19999999895	 sent Time 60.00000000000058
received Time: 2988.4999999983775	 sent Time 60.00000000000058
received Time: 2347.89999999896	 sent Time 60.00000000000058
received Time: 2347.2999999989606	 sent Time 60.00000000000058
received Time: 2355.3999999989533	 sent Time 60.00000000000058
received Time: 1607.2999999996337	 sent Time 60.00000000000058
received Time: 2379.1999999989316	 sent Time 60.00000000000058
received Time: 4388.799999998435	 sent Time 60.00000000000058
received Time: 950.3000000001475	 sent Time 60.00000000000058
received Time: 1276.1999999999348	 sent Time 60.00000000000058
received Time: 1275.4999999999354	 sent Time 60.00000000000058
received Time: 950.2000000001475	 sent Time 60.00000000000058
received Time: 2579.3999999987495	 sent Time 60.00000000000058
received Time: 2568.799999998759	 sent Time 60.00000000000058
received Time: 2346.899999998961	 sent Time 60.00000000000058
received Time: 950.8000000001476	 sent Time 60.00000000000058
received Time: 2347.1999999989607	 sent Time 60.00000000000058
received Time: 1100.4000000000947	 sent Time 60.00000000000058
received Time: 2358.79999999895	 sent Time 60.00000000000058
received Time: 4390.29999999844	 sent Time 60.00000000000058
received Time: 1924.1999999993454	 sent Time 60.00000000000058
received Time: 1276.0999999999349	 sent Time 60.00000000000058
received Time: 4434.2999999986005	 sent Time 60.00000000000058
received Time: 2347.6999999989603	 sent Time 60.00000000000058
received Time: 1100.5000000000946	 sent Time 60.00000000000058
received Time: 1870.3999999993944	 sent Time 60.00000000000058
received Time: 629.6000000000746	 sent Time 60.00000000000058
received Time: 4388.499999998434	 sent Time 60.00000000000058
received Time: 5567.300000002722	 sent Time 60.00000000000058
received Time: 950.6000000001476	 sent Time 60.00000000000058
received Time: 2347.99999999896	 sent Time 60.00000000000058
received Time: 1275.5999999999353	 sent Time 60.00000000000058
received Time: 2352.299999998956	 sent Time 60.00000000000058
received Time: 2358.89999999895	 sent Time 60.00000000000058
received Time: 1276.2999999999347	 sent Time 60.00000000000058
received Time: 2355.499999998953	 sent Time 60.00000000000058
received Time: 3468.399999997941	 sent Time 60.00000000000058
received Time: 3470.599999997939	 sent Time 60.00000000000058
received Time: 1870.0999999993946	 sent Time 60.00000000000058
received Time: 60.40000000000059	 sent Time 60.00000000000058
received Time: 2626.8999999987063	 sent Time 60.00000000000058
received Time: 1275.899999999935	 sent Time 60.00000000000058
received Time: 950.9000000001477	 sent Time 60.00000000000058
received Time: 2379.899999998931	 sent Time 60.00000000000058
received Time: 1974.0999999993	 sent Time 60.00000000000058
received Time: 1963.6999999993095	 sent Time 60.00000000000058
received Time: 2380.2999999989306	 sent Time 60.00000000000058
received Time: 950.5000000001476	 sent Time 60.00000000000058
received Time: 2378.899999998932	 sent Time 60.00000000000058
received Time: 3897.5999999975506	 sent Time 60.00000000000058
received Time: 950.4000000001475	 sent Time 60.00000000000058
received Time: 4434.399999998601	 sent Time 60.00000000000058
received Time: 1260.2999999999493	 sent Time 60.00000000000058
received Time: 2347.099999998961	 sent Time 60.00000000000058
received Time: 5576.600000002756	 sent Time 2402.5999999989103
received Time: 5271.600000001647	 sent Time 2402.5999999989103
received Time: 5440.600000002261	 sent Time 2402.5999999989103
received Time: 5518.200000002544	 sent Time 2402.5999999989103
received Time: 4388.599999998434	 sent Time 2402.5999999989103
received Time: 8286.100000012613	 sent Time 2402.5999999989103
received Time: 4433.499999998598	 sent Time 2402.5999999989103
received Time: 4342.899999998268	 sent Time 2402.5999999989103
received Time: 5518.400000002544	 sent Time 2402.5999999989103
received Time: 5567.100000002722	 sent Time 2402.5999999989103
received Time: 5567.500000002723	 sent Time 2402.5999999989103
received Time: 5372.000000002012	 sent Time 2402.5999999989103
received Time: 2416.9999999988972	 sent Time 2402.5999999989103
received Time: 5371.50000000201	 sent Time 2402.5999999989103
received Time: 3468.7999999979406	 sent Time 2402.5999999989103
received Time: 5517.900000002543	 sent Time 2402.5999999989103
received Time: 5519.100000002547	 sent Time 2402.5999999989103
received Time: 3468.6999999979407	 sent Time 2402.5999999989103
received Time: 2988.899999998377	 sent Time 2402.5999999989103
received Time: 5823.800000003655	 sent Time 2402.5999999989103
received Time: 5776.500000003483	 sent Time 2402.5999999989103
