Run 1/1
Running simulation 'FL_C_CCN_Cache_50_RWP'
Unique content gateway: 141 :: total unique content cache: 1
received Time: 670.5000000000839	 sent Time 60.00000000000058
received Time: 1480.7999999997487	 sent Time 60.00000000000058
received Time: 151.1999999999957	 sent Time 60.00000000000058
received Time: 62.300000000000615	 sent Time 60.00000000000058
received Time: 1262.2999999999474	 sent Time 60.00000000000058
received Time: 1262.4999999999472	 sent Time 60.00000000000058
received Time: 1602.2999999996382	 sent Time 60.00000000000058
received Time: 1093.400000000101	 sent Time 60.00000000000058
received Time: 60.200000000000585	 sent Time 60.00000000000058
received Time: 1480.9999999997485	 sent Time 60.00000000000058
received Time: 168.29999999999472	 sent Time 60.00000000000058
received Time: 3060.599999998312	 sent Time 60.00000000000058
received Time: 1491.499999999739	 sent Time 60.00000000000058
received Time: 1602.399999999638	 sent Time 60.00000000000058
received Time: 1262.3999999999473	 sent Time 60.00000000000058
received Time: 1491.399999999739	 sent Time 60.00000000000058
received Time: 790.4000000001112	 sent Time 60.00000000000058
received Time: 1375.5999999998444	 sent Time 60.00000000000058
received Time: 790.6000000001112	 sent Time 60.00000000000058
received Time: 359.00000000001313	 sent Time 60.00000000000058
received Time: 74.50000000000004	 sent Time 60.00000000000058
received Time: 1766.8999999994885	 sent Time 60.00000000000058
received Time: 1749.799999999504	 sent Time 60.00000000000058
received Time: 790.5000000001112	 sent Time 60.00000000000058
received Time: 70.80000000000025	 sent Time 60.00000000000058
received Time: 1602.1999999996383	 sent Time 60.00000000000058
received Time: 71.20000000000023	 sent Time 60.00000000000058
received Time: 793.5000000001119	 sent Time 60.00000000000058
received Time: 70.70000000000026	 sent Time 60.00000000000058
received Time: 769.4000000001064	 sent Time 60.00000000000058
received Time: 1262.699999999947	 sent Time 60.00000000000058
received Time: 358.9000000000131	 sent Time 60.00000000000058
received Time: 2922.6999999984373	 sent Time 1140.5000000000582
received Time: 2969.099999998395	 sent Time 1140.5000000000582
received Time: 1726.799999999525	 sent Time 1140.5000000000582
received Time: 1263.1999999999466	 sent Time 1140.5000000000582
received Time: 1689.299999999559	 sent Time 1140.5000000000582
received Time: 1277.2999999999338	 sent Time 1140.5000000000582
received Time: 2223.0999999990736	 sent Time 1140.5000000000582
received Time: 1141.0000000000578	 sent Time 1140.5000000000582
received Time: 1497.0999999997339	 sent Time 1140.5000000000582
received Time: 1514.3999999997181	 sent Time 1140.5000000000582
received Time: 2725.999999998616	 sent Time 1140.5000000000582
received Time: 2513.4999999988095	 sent Time 1140.5000000000582
received Time: 1480.599999999749	 sent Time 1140.5000000000582
received Time: 2923.4999999984366	 sent Time 1140.5000000000582
received Time: 1274.1999999999366	 sent Time 1140.5000000000582
received Time: 2513.3999999988096	 sent Time 1140.5000000000582
received Time: 1270.39999999994	 sent Time 1140.5000000000582
received Time: 1274.0999999999367	 sent Time 1140.5000000000582
received Time: 2925.4999999984348	 sent Time 1140.5000000000582
received Time: 1271.499999999939	 sent Time 1140.5000000000582
received Time: 1806.4999999994525	 sent Time 1140.5000000000582
received Time: 3331.5999999980654	 sent Time 1140.5000000000582
received Time: 1749.899999999504	 sent Time 1140.5000000000582
received Time: 2270.5999999990304	 sent Time 1140.5000000000582
received Time: 2725.7999999986164	 sent Time 1140.5000000000582
received Time: 3060.9999999983115	 sent Time 1140.5000000000582
received Time: 3532.6999999978825	 sent Time 1140.5000000000582
received Time: 2726.399999998616	 sent Time 1140.5000000000582
received Time: 1831.7999999994295	 sent Time 1140.5000000000582
received Time: 1480.8999999997486	 sent Time 1140.5000000000582
received Time: 1140.800000000058	 sent Time 1140.5000000000582
received Time: 2923.199999998437	 sent Time 1741.4999999995116
received Time: 1758.1999999994964	 sent Time 1741.4999999995116
received Time: 1831.5999999994297	 sent Time 1741.4999999995116
received Time: 1750.2999999995036	 sent Time 1741.4999999995116
received Time: 2223.2999999990734	 sent Time 1741.4999999995116
received Time: 2223.1999999990735	 sent Time 1741.4999999995116
received Time: 2725.8999999986163	 sent Time 1741.4999999995116
received Time: 1741.9999999995111	 sent Time 1741.4999999995116
received Time: 1742.199999999511	 sent Time 1741.4999999995116
