Run 1/1
Running simulation 'FL_C_CCN_Cache_50_SPMBM'
60.0 10956: 182.59 1/s
Unique content gateway: 196 :: total unique content cache: 1
received Time: 6658.500000006692	 sent Time 60.00000000000058
received Time: 4860.800000000152	 sent Time 60.00000000000058
received Time: 7704.8000000104985	 sent Time 60.00000000000058
received Time: 5256.10000000159	 sent Time 60.00000000000058
received Time: 2249.3999999990497	 sent Time 60.00000000000058
received Time: 5256.400000001591	 sent Time 60.00000000000058
received Time: 6089.700000004623	 sent Time 60.00000000000058
received Time: 2203.099999999092	 sent Time 60.00000000000058
received Time: 93.89999999999894	 sent Time 60.00000000000058
received Time: 2249.6999999990494	 sent Time 60.00000000000058
received Time: 2880.199999998476	 sent Time 60.00000000000058
received Time: 3601.9999999978195	 sent Time 60.00000000000058
received Time: 4860.500000000151	 sent Time 60.00000000000058
received Time: 3437.599999997969	 sent Time 60.00000000000058
received Time: 710.8000000000931	 sent Time 60.00000000000058
received Time: 834.5000000001212	 sent Time 60.00000000000058
received Time: 4146.199999997552	 sent Time 60.00000000000058
received Time: 830.4000000001203	 sent Time 60.00000000000058
received Time: 5256.700000001592	 sent Time 60.00000000000058
received Time: 3601.8999999978196	 sent Time 60.00000000000058
received Time: 214.79999999999208	 sent Time 60.00000000000058
received Time: 2010.5999999992669	 sent Time 60.00000000000058
received Time: 408.30000000002434	 sent Time 60.00000000000058
received Time: 3278.7999999981134	 sent Time 60.00000000000058
received Time: 716.7000000000944	 sent Time 60.00000000000058
received Time: 1084.8000000001089	 sent Time 60.00000000000058
received Time: 882.9000000001322	 sent Time 60.00000000000058
received Time: 214.3999999999921	 sent Time 60.00000000000058
received Time: 717.3000000000945	 sent Time 60.00000000000058
received Time: 2791.6999999985565	 sent Time 60.00000000000058
received Time: 713.6000000000937	 sent Time 60.00000000000058
received Time: 2456.0999999988617	 sent Time 60.00000000000058
received Time: 2249.19999999905	 sent Time 60.00000000000058
received Time: 868.800000000129	 sent Time 60.00000000000058
received Time: 2456.1999999988616	 sent Time 2282.3999999990197
received Time: 4860.600000000151	 sent Time 2282.3999999990197
received Time: 6660.0000000066975	 sent Time 2282.3999999990197
received Time: 2880.4999999984757	 sent Time 2282.3999999990197
received Time: 2455.9999999988618	 sent Time 2282.3999999990197
received Time: 6089.00000000462	 sent Time 2282.3999999990197
received Time: 7703.800000010495	 sent Time 2282.3999999990197
received Time: 3495.4999999979163	 sent Time 2282.3999999990197
received Time: 6090.300000004625	 sent Time 2282.3999999990197
received Time: 6089.100000004621	 sent Time 2282.3999999990197
received Time: 2880.5999999984756	 sent Time 2282.3999999990197
received Time: 3601.7999999978197	 sent Time 2282.3999999990197
received Time: 4860.1000000001495	 sent Time 2282.3999999990197
received Time: 3437.699999997969	 sent Time 2282.3999999990197
received Time: 2880.099999998476	 sent Time 2282.3999999990197
received Time: 8134.10000001206	 sent Time 2282.3999999990197
received Time: 4146.299999997553	 sent Time 2282.3999999990197
received Time: 3437.799999997969	 sent Time 2282.3999999990197
received Time: 7702.900000010492	 sent Time 2282.3999999990197
received Time: 6089.600000004622	 sent Time 2282.3999999990197
received Time: 2282.6999999990194	 sent Time 2282.3999999990197
received Time: 2880.7999999984754	 sent Time 2282.3999999990197
received Time: 5256.900000001593	 sent Time 2282.3999999990197
received Time: 5513.900000002528	 sent Time 2282.3999999990197
received Time: 4842.300000000085	 sent Time 2282.3999999990197
received Time: 8708.900000014151	 sent Time 2282.3999999990197
received Time: 5256.600000001592	 sent Time 2282.3999999990197
received Time: 4861.000000000153	 sent Time 2282.3999999990197
received Time: 6410.100000005788	 sent Time 2282.3999999990197
received Time: 2880.399999998476	 sent Time 2282.3999999990197
received Time: 4860.20000000015	 sent Time 2282.3999999990197
received Time: 2468.3999999988505	 sent Time 2282.3999999990197
received Time: 2282.899999999019	 sent Time 2282.3999999990197
received Time: 6089.400000004622	 sent Time 2282.3999999990197
received Time: 6659.300000006695	 sent Time 3604.599999997817
received Time: 6410.700000005791	 sent Time 3604.599999997817
